Serial Number,English,Traditional Chinese,French,Spanish,Japanese,Korean,German,Russian,Arabic,Portuguese
001,Joy,喜悅,Joie,Alegría,喜び,기쁨,Freude,Радость,فرح,Alegria
002,Wonder,驚奇,Émerveillement,Asombro,驚き,경이,Staunen,Удивление,دهشة,Admiração
003,Curiosity,好奇,Curiosité,Curiosidad,好奇心,호기심,Neugier,Любопытство,فضول,Curiosidade
004,Hope,希望,Espoir,Esperanza,希望,희망,Hoffnung,Надежда,أمل,Esperança
005,Gratitude,感恩,Gratitude,Gratitud,感謝,감사,Dankbarkeit,Благодарность,امتنان,Gratidão
006,Trust,信任,Confiance,Confianza,信頼,신뢰,Vertrauen,Доверие,ثقة,Confiança
007,Peace,平靜,Paix,Paz,平和,평화,Frieden,Мир,سلام,Paz
008,Excitement,興奮,Enthousiasme,Emoción,興奮,흥분,Begeisterung,Волнение,حماس,Entusiasmo
009,Courage,勇氣,Courage,Coraje,勇気,용기,Mut,Смелость,شجاعة,Coragem
010,Compassion,同理,Compassion,Compasión,思いやり,연민,Mitgefühl,Сострадание,تعاطف,Compaixão
011,Fear,恐懼,Peur,Miedo,恐れ,두려움,Angst,Страх,خوف,Medo
012,Doubt,懷疑,Doute,Duda,疑い,의심,Zweifel,Сомнение,شك,Dúvida
013,Anxiety,焦慮,Anxiété,Ansiedad,不安,불안,Angst,Тревога,قلق,Ansiedade
014,Anger,憤怒,Colère,Ira,怒り,분노,Wut,Гнев,غضب,Raiva
015,Loneliness,孤獨,Solitude,Soledad,孤独,외로움,Einsamkeit,Одиночество,وحدة,Solidão
016,Regret,遺憾,Regret,Arrepentimiento,後悔,후회,Bedauern,Сожаление,ندم,Arrependimento
017,Guilt,愧疚,Culpabilité,Culpa,罪悪感,죄책감,Schuld,Вина,ذنب,Culpa
018,Sorrow,悲傷,Chagrin,Pesar,悲しみ,슬픔,Kummer,Печаль,حزن,Tristeza
019,Envy,嫉妒,Envie,Envidia,嫉妬,질투,Neid,Зависть,حسد,Inveja
020,Relief,釋然,Soulagement,Alivio,安堵,안도,Erleichterung,Облегчение,ارتياح,Alívio
021,Balance,平衡,Équilibre,Equilibrio,均衡,균형,Gleichgewicht,Баланс,توازن,Equilíbrio
022,Chaos,混亂,Chaos,Caos,混沌,혼돈,Chaos,Хаос,فوضى,Caos
023,Stillness,靜止,Immobilité,Quietud,静寂,고요,Stille,Тишина,سكون,Quietude
024,Motion,流動,Mouvement,Movimiento,動き,움직임,Bewegung,Движение,حركة,Movimento
025,Growth,成長,Croissance,Crecimiento,成長,성장,Wachstum,Рост,نمو,Crescimento
026,Change,改變,Changement,Cambio,変化,변화,Veränderung,Перемена,تغيير,Mudança
027,Transition,轉變,Transition,Transición,移行,전환,Übergang,Переход,انتقال,Transição
028,Beginning,開始,Commencement,Comienzo,始まり,시작,Anfang,Начало,بداية,Começo
029,Ending,結束,Fin,Final,終わり,끝,Ende,Конец,نهاية,Fim
030,Renewal,新生,Renouveau,Renovación,再生,갱신,Erneuerung,Обновление,تجديد,Renovação
031,Healing,療癒,Guérison,Sanación,癒し,치유,Heilung,Исцеление,شفاء,Cura
032,Freedom,自由,Liberté,Libertad,自由,자유,Freiheit,Свобода,حرية,Liberdade
033,Limitation,限制,Limitation,Limitación,制限,제한,Begrenzung,Ограничение,قيد,Limitação
034,Uncertainty,未知,Incertitude,Incertidumbre,不確実性,불확실성,Unsicherheit,Неопределённость,عدم يقين,Incerteza
035,Clarity,清晰,Clarté,Claridad,明晰,명확,Klarheit,Ясность,وضوح,Clareza
036,Focus,專注,Concentration,Enfoque,集中,집중,Fokus,Фокус,تركيز,Foco
037,Flow,順流,Flux,Flujo,流れ,흐름,Fluss,Поток,تدفق,Fluxo
038,Resistance,抗拒,Résistance,Resistencia,抵抗,저항,Widerstand,Сопротивление,مقاومة,Resistência
039,Stability,穩定,Stabilité,Estabilidad,安定,안정,Stabilität,Стабильность,استقرار,Estabilidade
040,Fragility,脆弱,Fragilité,Fragilidad,脆さ,취약,Zerbrechlichkeit,Хрупкость,هشاشة,Fragilidade
041,Wisdom,智慧,Sagesse,Sabiduría,知恵,지혜,Weisheit,Мудрость,حكمة,Sabedoria
042,Truth,真實,Vérité,Verdad,真実,진실,Wahrheit,Истина,حقيقة,Verdade
043,Integrity,正直,Intégrité,Integridad,誠実,정직,Integrität,Честность,نزاهة,Integridade
044,Kindness,善意,Gentillesse,Amabilidad,優しさ,친절,Freundlichkeit,Доброта,لطف,Bondade
045,Respect,尊重,Respect,Respeto,尊敬,존경,Respekt,Уважение,احترام,Respeito
046,Responsibility,責任,Responsabilité,Responsabilidad,責任,책임,Verantwortung,Ответственность,مسؤولية,Responsabilidade
047,Patience,耐心,Patience,Paciencia,忍耐,인내,Geduld,Терпение,صبر,Paciência
